time_open,time_close,side,entry,sl,tp,exit_price,R,MFE_R,MAE_R,module,weekday,gmt_hour,session_bucket,comment
1694097900,1694174424,BUY,15730.38,15613.16,15847.60,15612.93,-1.0020,0.5038,-0.9934,VPPOC,4,11,Midday,VPPOC_REJECT_LONG
1695913200,1695926443,BUY,15216.58,15103.75,15329.41,15329.43,1.0002,0.9825,-0.1272,VPPOC,4,12,Midday,VPPOC_REJECT_LONG
1696500000,1696932381,BUY,15115.98,14944.68,15287.28,15287.51,1.0013,0.9989,-0.5251,VPPOC,4,7,Frankfurt,VPPOC_REJECT_LONG
1697536800,1697647260,BUY,15228.08,15108.07,15388.35,15107.13,-1.0078,0.6120,-0.9995,VPPOC,2,7,Frankfurt,VPPOC_REJECT_LONG
1698400800,1698856636,BUY,14740.18,14558.73,14921.63,14921.73,1.0006,0.9950,-0.8512,VPPOC,5,7,Frankfurt,VPPOC_REJECT_LONG
1699297200,1699460118,BUY,15142.18,15041.05,15243.31,15243.43,1.0012,0.9913,-0.7115,VPPOC,1,16,Late,VPPOC_REJECT_LONG
1701109800,1701253177,BUY,15989.68,15899.39,16079.97,16080.02,1.0006,0.9984,-0.7393,VPPOC,1,15,USOverlap,VPPOC_REJECT_LONG
1702984500,1702992868,BUY,16719.38,16632.60,16747.99,16748.83,0.3394,0.3278,-0.2489,VPPOC,2,8,London,VPPOC_REJECT_LONG
1703153700,1703646900,BUY,16706.98,16611.71,16763.18,16779.63,0.7626,1.0775,-0.6880,VPPOC,4,7,Frankfurt,VPPOC_REJECT_LONG
1709651700,1709658019,BUY,17729.78,17649.00,17758.62,17759.23,0.3646,0.3522,-0.2296,VPPOC,2,12,Midday,VPPOC_REJECT_LONG
1710860400,1710968439,BUY,18011.18,17906.77,18115.59,18115.97,1.0036,0.9994,-0.4171,VPPOC,2,12,Midday,VPPOC_REJECT_LONG
1713434400,1713499735,BUY,17898.28,17687.75,18108.81,17684.33,-1.0162,0.0819,-0.9806,VPPOC,4,7,Frankfurt,VPPOC_REJECT_LONG
1713780000,1713896220,BUY,17908.18,17628.10,18188.26,18188.83,1.0020,0.9985,-0.3394,VPPOC,1,7,Frankfurt,VPPOC_REJECT_LONG
1716396300,1716411807,BUY,18731.58,18613.88,18849.28,18613.03,-1.0072,0.0081,-0.9987,VPPOC,3,13,USOverlap,VPPOC_REJECT_LONG
1717086600,1717384502,BUY,18528.38,18418.89,18637.87,18638.31,1.0040,0.9980,-0.8617,VPPOC,4,13,USOverlap,VPPOC_REJECT_LONG
1719341100,1719372471,BUY,18182.78,18050.43,18219.42,18219.93,0.2807,0.2731,-0.1840,VPPOC,2,15,USOverlap,VPPOC_REJECT_LONG
1721155500,1721162910,BUY,18540.93,18424.87,18572.83,18573.48,0.2805,0.2718,-0.1159,VPPOC,2,15,USOverlap,VPPOC_REJECT_LONG
1725886800,1725979084,BUY,18450.28,18353.42,18585.37,18352.73,-1.0071,0.7208,-0.9555,VPPOC,1,10,London,VPPOC_REJECT_LONG
1726054200,1726071355,BUY,18364.08,18249.20,18446.78,18447.73,0.7282,0.7194,-0.7403,VPPOC,3,8,London,VPPOC_REJECT_LONG
1727094600,1727171340,BUY,18791.78,18661.10,18984.49,18984.53,1.4750,1.4673,-0.1266,VPPOC,1,9,London,VPPOC_REJECT_LONG
1729074600,1729180869,BUY,19476.03,19341.64,19610.42,19610.93,1.0038,0.9964,-0.5015,VPPOC,3,7,Frankfurt,VPPOC_REJECT_LONG
1729688400,1729717707,BUY,19435.28,19319.39,19551.17,19318.73,-1.0057,0.2800,-0.9884,VPPOC,3,10,London,VPPOC_REJECT_LONG
